,id,description,ingredients,categories,url
Asparago alla milanese,0,"Asparago alla milanese (ital. für ""Spargel nach Mailänder Art"") ist ein Rezept des Fernsehkochs Wolfgang Kohlhepp, der u.a. durch die ehemalige TV-Sendung Kochduell einem breiteren Publikum bekannt wurde.
","{'Tomate', 'Butter', 'Parmesan', 'Sahne', 'Spargel', 'Salz', 'Zucker', 'Kochschinken', 'Zitrone', 'Muskat'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Wolfgang Kohlhepp', 'Lombardische Küche', 'Spargel', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Asparago_alla_milanese
Bauernfrühstück,1,"Bauernfrühstück ist ein schmackhaftes Gericht, bei dem man prima Kartoffel- und auch Gemüsereste vom Vortag verwerten kann. Ähnlichkeit hat das Gericht mit Rührei, Bratkartoffeln oder auch der spanischen Tortilla.
","{'Butter', 'Bauchspeck', 'Ei', 'Kartoffel', 'Pfeffer', 'Butterschmalz', 'Salz', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Deutsche Küche', 'Hauptspeisen', 'Kartoffel', 'Eierspeisen']",https://www.kochwiki.org/wiki/Bauernfr%C3%BChst%C3%BCck
Blutbrot,2,"Blutbrot ist in Groningen unter dem Namen Blaud stoet bekannt und ein typisches Schlachtgericht. Heutzutage wird die Blutwurst meistens nicht mehr zu Hause angefertigt, doch früher geschah das häufig; nicht nur in Groningen, sondern auch in anderen Teilen der östlichen Niederlande. Das Besondere am Groninger Blaud stoet ist das Beimischen von Rosinen. In den anderen Provinzen wird stattdessen Speck untergemischt.
","{'Blut', 'Mehl', 'Pfeffer', 'Schmalz', 'Salz', 'Rosine', 'Gewürznelke', 'Wasser'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Groninger Küche']",https://www.kochwiki.org/wiki/Blutbrot
Bollito misto,3,"Bollito misto (ital. für ""gemischtes Gekochtes"") stammt aus Norditalien, vor allem dem Piemont und dem Aostatal. Ein traditionelles und üppiges, festliches Familienessen, bei dem viele Leute ohne großen Aufwand um den Tisch versammelt werden können. Zum Bollito misto werden traditionell diverse Saucen und Senffrüchte gereicht.
","{'Kalbszunge', 'Sellerie', 'Cotechino', 'Karotte', 'Lorbeer', 'Pfeffer', 'Rinderbrust', 'Salz', 'Kalbsnuss', 'Huhn', 'Zwiebel', 'Lauch'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Festliche Küche', 'Küche des Piemont und Aostatals', 'Rinderbrust', 'Kalbsinnereien', 'Ganzes Huhn']",https://www.kochwiki.org/wiki/Bollito_misto
Braune Bohnen mit Reis,4,"Braune Bohnen mit Reis (ndl. nruine bonen met rijst - auch ""BB met R"" genannt) ist die surinamische Ausführung dieses in ganz Mittel- und Südamerika verbreiteten Gerichtes. 
","{'Tomate', 'Speck', 'Bohne', 'Knoblauch', 'Pfeffer', 'Reissorten', 'Sojasauce', 'Paprika', 'Sambal Bajak', 'Pflanzliche Öle', 'Garam Masala', 'Huhn', 'Zwiebel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Surinamische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Braune_Bohnen_mit_Reis
Burritos (TexMex-Wraps),5,"Burritos sind Wraps aus der TexMex-Küche. Eine weiche Weizentortilla mit verschiedenen Zutaten gefüllt und eingewickelt. Häufig werden sie direkt aus der Hand gegessen.
","{'Tomate', 'Kidneybohne', 'Kreuzkümmel', 'Weizentortilla', 'Chili', 'Knoblauch', 'Mais', 'Pfeffer', 'Salz', 'Hühnerbrust', 'Pflanzliche Öle', 'Zwiebel'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Wraps']",https://www.kochwiki.org/wiki/Burritos_(TexMex-Wraps)
Champignons mit Käsesauce überbacken,6,"Ein leichtes und köstliches Gericht sind Champignons mit Käsesauce überbacken, die einmal anstatt üblicher Lasagne & Co.  auf den Tisch kommen sollten.
","{'Schalotte', 'Butter', 'Champignon', 'Le Gruyère', 'Ei', 'Sahne', 'Petersilie', 'Knoblauch', 'Pfeffer', 'Salz', 'Weißwein', 'Cognac', 'Südtiroler Speck'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Singleküche', 'Vorspeisen', 'Deutsche Küche', 'Hauptspeisen', 'Champignons']",https://www.kochwiki.org/wiki/Champignons_mit_K%C3%A4sesauce_%C3%BCberbacken
Chinagemüse mit ausgebackenen Garnelen,7,"Das Gericht Chinagemüse mit ausgebackenen Garnelen ist aus Mangel an Ideen des Verfassers entstanden (Verwertung von rohen Gemüseresten). Das nebenstehende Foto zeigt das Gemüse mit den Garnelen und dem gekochten gekochter Reis.
","{'Portwein', 'Gemüsebrühe', 'Knoblauch', 'Stärkemehl', 'Sojasauce', 'Paprika', 'Zucker', 'Pfeffer', 'Zitrone', 'Trasi', 'Lauch', 'Sellerie', 'Karotte', 'Meersalz', 'Teriyaki-Sauce', 'Garnele', 'Sojasprosse', 'Zwiebel', 'Erdnussöl', 'Bambussprosse', 'Ei', 'Ingwer'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Chinesische Küche', 'Hauptspeisen', 'Garnele']",https://www.kochwiki.org/wiki/Chinagem%C3%BCse_mit_ausgebackenen_Garnelen
Chinesisches Pak-Choi-Gemüse mit Austernpilzen,8,"Pak-Choi ist ein beliebtes Kohlgemüse der asiatischen Küche. Verfeinert mit Austernpilzen passt das chinesisch zubereitete Pak-Choi-Gemüse und Austernpilzen sehr gut zu Fischgerichten und vielen weiteren Fleischspeisen. Es schmeckt aber auch solo als leichte Gemüsespeise hervorragend.
","{'Pak Choi', 'Chili', 'Knoblauch', 'Pfeffer', 'Sojasauce', 'Fischfond', 'Salz', 'Sesamöl', 'Austernpilz', 'Sonnenblumenöl', 'Ingwer', 'Zitrone', 'Fenchel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Beilagen', 'Chinesische Küche', 'Hauptspeisen', 'Kohl', 'Sesam', 'Vorspeisen']",https://www.kochwiki.org/wiki/Chinesisches_Pak-Choi-Gem%C3%BCse_mit_Austernpilzen
Chop Suey,9,"Chop Suey ist ein Gericht zur Resteverwertung der kantonesischen Küche (im kantonesischen Dialekt heißt tsap seui so viel wie verschiedene Reste). Im Allgemeinen bezeichnet man mit Chop Suey gebratenes Fleisch mit vielen Sorten Gemüse. Ob man nun wie in diesem Rezept Putenfleisch verwendet oder etwas anderes, bleibt jedem selber überlassen.
","{'Karotte', 'Champignon', 'Brühe', 'Pfeffer', 'Glasnudel', 'Putenfilet', 'Salz', 'Sojasauce', 'Paprika', 'Pflanzliche Öle', 'Sojasprosse', 'Currypulver', 'Erbse', 'Lauch'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Chop_Suey
