,id,description,ingredients,categories,url
Asparago alla milanese,0,"Asparago alla milanese (ital. für ""Spargel nach Mailänder Art"") ist ein Rezept des Fernsehkochs Wolfgang Kohlhepp, der u.a. durch die ehemalige TV-Sendung Kochduell einem breiteren Publikum bekannt wurde.
","{'Kochschinken', 'Zitrone', 'Muskat', 'Zucker', 'Tomate', 'Butter', 'Spargel', 'Salz', 'Parmesan', 'Sahne'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Wolfgang Kohlhepp', 'Lombardische Küche', 'Spargel', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Asparago_alla_milanese
Bauernfrühstück,1,"Bauernfrühstück ist ein schmackhaftes Gericht, bei dem man prima Kartoffel- und auch Gemüsereste vom Vortag verwerten kann. Ähnlichkeit hat das Gericht mit Rührei, Bratkartoffeln oder auch der spanischen Tortilla.
","{'Zwiebel', 'Bauchspeck', 'Gewürzgurke', 'Ei', 'Butter', 'Pfeffer', 'Butterschmalz', 'Salz', 'Kartoffel'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Deutsche Küche', 'Hauptspeisen', 'Kartoffel', 'Eierspeisen']",https://www.kochwiki.org/wiki/Bauernfr%C3%BChst%C3%BCck
Blutbrot,2,"Blutbrot ist in Groningen unter dem Namen Blaud stoet bekannt und ein typisches Schlachtgericht. Heutzutage wird die Blutwurst meistens nicht mehr zu Hause angefertigt, doch früher geschah das häufig; nicht nur in Groningen, sondern auch in anderen Teilen der östlichen Niederlande. Das Besondere am Groninger Blaud stoet ist das Beimischen von Rosinen. In den anderen Provinzen wird stattdessen Speck untergemischt.
","{'Rosine', 'Schmalz', 'Mehl', 'Wasser', 'Pfeffer', 'Apfel', 'Gewürznelke', 'Blut', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Groninger Küche']",https://www.kochwiki.org/wiki/Blutbrot
Bollito misto,3,"Bollito misto (ital. für ""gemischtes Gekochtes"") stammt aus Norditalien, vor allem dem Piemont und dem Aostatal. Ein traditionelles und üppiges, festliches Familienessen, bei dem viele Leute ohne großen Aufwand um den Tisch versammelt werden können. Zum Bollito misto werden traditionell diverse Saucen und Senffrüchte gereicht.
","{'Huhn', 'Zwiebel', 'Cotechino', 'Lorbeer', 'Pfeffer', 'Lauch', 'Sellerie', 'Salz', 'Karotte', 'Kalbsnuss', 'Rinderbrust', 'Kalbszunge'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Festliche Küche', 'Küche des Piemont und Aostatals', 'Rinderbrust', 'Kalbsinnereien', 'Ganzes Huhn']",https://www.kochwiki.org/wiki/Bollito_misto
Braune Bohnen mit Reis,4,"Braune Bohnen mit Reis (ndl. nruine bonen met rijst - auch ""BB met R"" genannt) ist die surinamische Ausführung dieses in ganz Mittel- und Südamerika verbreiteten Gerichtes. 
","{'Huhn', 'Zwiebel', 'Tomate', 'Paprika', 'Pfeffer', 'Garam Masala', 'Speck', 'Knoblauch', 'Bohne', 'Sojasauce'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Surinamische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Braune_Bohnen_mit_Reis
Burritos (TexMex-Wraps),5,"Burritos sind Wraps aus der TexMex-Küche. Eine weiche Weizentortilla mit verschiedenen Zutaten gefüllt und eingewickelt. Häufig werden sie direkt aus der Hand gegessen.
","{'Kidneybohne', 'Kreuzkümmel', 'Zwiebel', 'Chili', 'Tomate', 'Fleisch', 'Eisbergsalat', 'Paprika', 'Pfeffer', 'Sauerrahm', 'Mais', 'Hühnerbrust', 'Knoblauch', 'Edamer', 'Salz'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Wraps']",https://www.kochwiki.org/wiki/Burritos_(TexMex-Wraps)
Champignons mit Käsesauce überbacken,6,"Ein leichtes und köstliches Gericht sind Champignons mit Käsesauce überbacken, die einmal anstatt üblicher Lasagne & Co.  auf den Tisch kommen sollten.
","{'Südtiroler Speck', 'Champignon', 'Cognac', 'Le Gruyère', 'Eisbergsalat', 'Ei', 'Butter', 'Pfeffer', 'Petersilie', 'Olivenöl', 'Knoblauch', 'Schalotte', 'Salz', 'Sahne'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Singleküche', 'Vorspeisen', 'Deutsche Küche', 'Hauptspeisen', 'Champignons']",https://www.kochwiki.org/wiki/Champignons_mit_K%C3%A4sesauce_%C3%BCberbacken
Chinagemüse mit ausgebackenen Garnelen,7,"Das Gericht Chinagemüse mit ausgebackenen Garnelen ist aus Mangel an Ideen des Verfassers entstanden (Verwertung von rohen Gemüseresten). Das nebenstehende Foto zeigt das Gemüse mit den Garnelen und dem gekochten gekochter Reis.
","{'Meersalz', 'Sojasprosse', 'Paprika', 'Pfeffer', 'Knoblauch', 'Karotte', 'Zitrone', 'Lauch', 'Sojasauce', 'Garnele', 'Ei', 'Bambussprosse', 'Sellerie', 'Teriyaki-Sauce', 'Zucker', 'Zwiebel', 'Ingwer', 'Trasi', 'Erdnussöl', 'Stärkemehl'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Chinesische Küche', 'Hauptspeisen', 'Garnele']",https://www.kochwiki.org/wiki/Chinagem%C3%BCse_mit_ausgebackenen_Garnelen
Chinesisches Pak-Choi-Gemüse mit Austernpilzen,8,"Pak-Choi ist ein beliebtes Kohlgemüse der asiatischen Küche. Verfeinert mit Austernpilzen passt das chinesisch zubereitete Pak-Choi-Gemüse und Austernpilzen sehr gut zu Fischgerichten und vielen weiteren Fleischspeisen. Es schmeckt aber auch solo als leichte Gemüsespeise hervorragend.
","{'Austernpilz', 'Zitrone', 'Koriander', 'Chili', 'Knoblauch', 'Sesamöl', 'Pfeffer', 'Fenchel', 'Sesam', 'Ingwer', 'Sonnenblumenöl', 'Salz', 'Sojasauce', 'Pak Choi'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Beilagen', 'Chinesische Küche', 'Hauptspeisen', 'Kohl', 'Sesam', 'Vorspeisen']",https://www.kochwiki.org/wiki/Chinesisches_Pak-Choi-Gem%C3%BCse_mit_Austernpilzen
Chop Suey,9,"Chop Suey ist ein Gericht zur Resteverwertung der kantonesischen Küche (im kantonesischen Dialekt heißt tsap seui so viel wie verschiedene Reste). Im Allgemeinen bezeichnet man mit Chop Suey gebratenes Fleisch mit vielen Sorten Gemüse. Ob man nun wie in diesem Rezept Putenfleisch verwendet oder etwas anderes, bleibt jedem selber überlassen.
","{'Currypulver', 'Putenfilet', 'Champignon', 'Glasnudel', 'Brühe', 'Erbse', 'Sojasprosse', 'Paprika', 'Pfeffer', 'Lauch', 'Karotte', 'Salz', 'Sojasauce'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Chop_Suey
Chop Suey mit Hühnchen,10,"Auch dem Chop Suey mit Hühnchen soll eine Legende vorweg gestellt werden, wie das Gericht entstanden ist. Tatsächlich gibt es das Gericht in China nicht. Ein chinesischer Koch in den USA wurde von einem Diplomaten beauftragt, ein Diät-Gericht für ihn herzustellen, das zum Chop Suey wurde. Eine Legende…
","{'Zucker', 'Zwiebel', 'Wasser', 'Brühe', 'Sojasprosse', 'Sesamöl', 'Hühnerbrust', 'Lauch', 'Knoblauch', 'Sojasauce', 'Stärkemehl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen', 'Diätgerichte']",https://www.kochwiki.org/wiki/Chop_Suey_mit_H%C3%BChnchen
Chop Suey mit Rindfleisch,11,"Chop Suey mit Rindfleisch ist eine Variante des Chop Suey. Interessanterweise ist das Gericht in China unbekannt. So ranken sich verschiedene Legenden um dieses Gericht der chinesischen Küche. Eines ist, dass das Gericht in einem chinesischen Restaurant in San Francisco erfunden wurde, als ein Kunde nach Geschäftsschluss noch etwas zu Essen bestellte und der Koch einfach Reste in den Wok warf und den Gast damit sehr erfreute.
","{'Wasserkastanie', 'Champignon', 'Zwiebel', 'Sojasprosse', 'Austernsauce', 'Sesamöl', 'Pfeffer', 'Kaiserschote', 'Brokkoli', 'Sellerie', 'Erdnussöl', 'Salz', 'Sojasauce', 'Rumpsteak'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen', 'Brokkoli']",https://www.kochwiki.org/wiki/Chop_Suey_mit_Rindfleisch
Egg Benedict,12,"Egg Benedict oder Eier Benedikt ist ein Klassiker der amerikanischen Frühstückskultur aus pochierten Eiern und geröstetem Brot. In Deutschland ist aber auch ein beliebtes schnelles Abendessen.
",{'Speck'},"['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Pochierte Eier', 'US-amerikanische Küche']",https://www.kochwiki.org/wiki/Egg_Benedict
Eier in Tomaten mit Kräutersauce,13,"Eier in Tomaten mit Kräutersauce ist eine Vorspeise, die nicht nur gut schmeckt, sondern auch preiswert ist und dazu auch noch gut aussieht.
","{'Tomate', 'Ei', 'Pfeffer', 'Petersilie', 'Basilikum', 'Sherryessig', 'Salz', 'Olivenöl'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Tomate', 'Eierspeisen', 'Hauptspeisen', 'Abendessen']",https://www.kochwiki.org/wiki/Eier_in_Tomaten_mit_Kr%C3%A4utersauce
Eierschwammerlgulasch mit Kings-Prawns,14,"Schwammerl, die österreichische Bezeichnung für Pilze, gibt es in vielfältiger Auswahl und kostenlos in Wäldern und auf Wiesen. Wohl ein Pilz der beliebtesten Art sind Eierschwammerl, auch als Pfifferlinge bekannt. Als Gulasch mit edlen Garnelen zubereitet, schmeckt das Eierschwammerlgulasch mit Kings-Prawns besonders gut mit gebackenen Risottoknödeln serviert.
","{'Pfifferling', 'Zwiebel', 'Garnele', 'Kümmel', 'Paprika', 'Butter', 'Pfeffer', 'Nudel', 'Sauerrahm', 'Olivenöl', 'Petersilie', 'Knoblauch', 'Sonnenblumenöl', 'Salz', 'Sahne'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Oberösterreichische Küche', 'Hauptspeisen', 'Pfifferlinge', 'Garnele', 'Paprika']",https://www.kochwiki.org/wiki/Eierschwammerlgulasch_mit_Kings-Prawns
Empadão,15,"Die Empadão (""große Pastete"", port. für die span. Empanada) ist eine portugiesisch-brasilianische Pastetenspezialität. Die zwei kleineren Varianten Empadinha (""Pastetchen"") und Empada (""kleine Pastete""), beide mit konischer Form, ähnlich wie Muffins, werden hauptsächlich im Straßenverkauf als Imbiss angeboten. Der große, rechteckige Empadão dagegen ist echte Hausmannskost.
","{'Meersalz', 'Sahne', 'Chili', 'Hühnerschenkel', 'Tomate', 'Weizenmehl', 'Ei', 'Pfeffer', 'Butter', 'Petersilie', 'Spinat', 'Knoblauch', 'Sonnenblumenöl', 'Salz', 'Stärkemehl'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Brasilianische Küche', 'Vorspeisen', 'Hauptspeisen', 'Fingerfood', 'Partyrezepte', 'Pasteten', 'Portugiesische Küche', 'Empanadas']",https://www.kochwiki.org/wiki/Empad%C3%A3o
Entenbrust auf Paprikagemüse,16,"Ente auf Paprika ist ein chinesisches Hauptgericht. Dabei ist es schnell gemacht und nicht scharf. Dabei ist die Qualität der Entenbrust besonders wichtig.
","{'Zwiebel', 'Brühe', 'Tomate', 'Paprika', 'Entenbrust', 'Sojasauce', 'Sambal', 'Knoblauch', 'Erdnussöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Entenbrust_auf_Paprikagem%C3%BCse
Entenbrust Peking,17,"Entenbrust Peking ist ein schnelles Gericht, das durch die fertige Sauce auch einfach herzustellen ist.
","{'Zwiebel', 'Entenbrust', 'Pfeffer', 'Honig', 'Mexikanische Tortilla', 'Salz', 'Sojasauce'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Chinesische Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Entenbrust_Peking
Fetavariationen auf Blattsalat,18,"Feta-Käse ist vielfälltig einsätzbar und darf auf keinem griechischen Salat fehlen. Mal etwas anders serviert, sind die Fetavariationen auf Blattsalat nicht nur schön für das Auge, sondern schmecken auch vorzüglich und eignen sich im Sommer auch als leichte Hauptspeise.
","{'Weizenmehl', 'Pfeffer', 'Feta', 'Sesam', 'Karotte', 'Kirschtomate', 'Radieschen', 'Pumpernickel', 'Olive', 'Olivenöl', 'Sahne', 'Ei', 'Butter', 'Basilikum', 'Schalotte', 'Weißweinessig', 'Parmaschinken', 'Paniermehl', 'Zucker', 'Salz'}","['Schwierigkeit mittel', 'Rezepte ohne Alkohol', 'Blattsalat', 'Feta', 'Griechische Salate', 'Hauptspeisen', 'Radieschen', 'Sesam', 'Tomate']",https://www.kochwiki.org/wiki/Fetavariationen_auf_Blattsalat
Gebackener Karpfen (simples Grundrezept),19,"Will man in der Küche etwas neues ausprobieren, sollte man nicht gleich zu den komplizierten Rezepten greifen. Wer noch nie einen Karpfen zubereitet hat, diesen traditionellen Weihnachts- und Silvesterfisch aber gern einmal probieren möchte, ist mit diesem Grundrezept gut beraten. Gebackener Karpfen lässt sich mit vielen Beilagen kombinieren oder auch solo nur mit etwas Brot verspeisen - ein puristisches Festmahl für die Single-Küche. Fischhändler bieten meistens auch halbe Karpfen an. Der Fisch ist dann in der Längsachse gespalten. Die Kopf- und Schwanzteile sollte man nicht abtrennen lassen, denn gerade der Kopf enthält schmackhafte Fleischanteile.
","{'Gemüse', 'Weißbrot', 'Karpfen', 'Endivie', 'Pfeffer', 'Speiseöl', 'Salz'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Karpfen', 'Singleküche']",https://www.kochwiki.org/wiki/Gebackener_Karpfen_(simples_Grundrezept)
Gebratene Scampi mit Vanille,20,"Gebratene Scampi mit Vanille hört sich im ersten Moment etwas merkwürdig an, aber Krustentiere und Vanille harmonieren wunderbar, wobei die Vanille das Gericht nicht übertönen darf. Ein abgeändertes Rezept von Pascale Weeks.
","{'Sahne', 'Gartenkresse', 'Cayennepfeffer', 'Knoblauch', 'Spaghetti', 'Karotte', 'Fond', 'Pfeffer', 'Gewürzthymian', 'Sellerie', 'Schalotte', 'Salz', 'Vanille', 'Olivenöl', 'Scampi'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Hauptspeisen', 'Scampi']",https://www.kochwiki.org/wiki/Gebratene_Scampi_mit_Vanille
Gebratener Reis mit Tintenfisch und Gemüse,21,"Bei gebratenem Reis mit Tintenfisch und Gemüse handelt es sich um ein Hausrezept. Das Pfannengericht kann ohne Beilagen serviert werden und eignet sich als Hauptgang.
","{'Currypulver', 'Meersalz', 'Huhn', 'Cayennepfeffer', 'Wasser', 'Sojasprosse', 'Ei', 'Butter', 'Tintenfisch', 'Sojasauce', 'Olivenöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Tintenfisch', 'Reis']",https://www.kochwiki.org/wiki/Gebratener_Reis_mit_Tintenfisch_und_Gem%C3%BCse
"Gebratenes Wokgemüse mit Pilzen, Krabben und Ei",22,"Gemüse hat gerade im Frühjahr wieder Hochsaison. Als gebratenes Wokgemüse mit Pilzen, Krabben und Ei eine sehr gute Alternative für den Mittagstisch.
","{'Paprika', 'Pfeffer', 'Reisnudel', 'Knoblauch', 'Karotte', 'Weißkohl', 'Morchel', 'Sesamöl', 'Sojasauce', 'Chili', 'Cashewkern', 'Shiitake', 'Nordseekrabbe', 'Bambussprosse', 'Lauchzwiebel', 'Zucker', 'Kaiserschote', 'Ingwer', 'Erdnussöl'}","['Schwierigkeit leicht', 'Rezepte mit Alkohol', 'Chinesische Küche', 'Wok-Küche', 'Nordseekrabbe', 'Hauptspeisen']","https://www.kochwiki.org/wiki/Gebratenes_Wokgem%C3%BCse_mit_Pilzen,_Krabben_und_Ei"
Geschmolzene Avocado mit gerösteten Calamari,23,"Die kleinen Tintenfische, auch Calamari genannt, kennen wohl die meisten von Gerichten in einem asiatischen Restaurant. Schnell zubereitet und mit Avocado als geschmolzene Avocado mit gerösteten Calamari ist ein durch die Sauce etwas gehaltvolleres und nicht während einer Diät geeignetes Gericht. 
","{'Zitrone', 'Chili', 'Zwiebel', 'Knoblauch', 'Avocado', 'Pfeffer', 'Petersilie', 'Basilikum', 'Ingwer', 'Tintenfisch', 'Salz', 'Olivenöl'}","['Schwierigkeit leicht', 'Rezepte ohne Alkohol', 'Mediterrane Küche', 'Tintenfisch', 'Vorspeisen', 'Hauptspeisen', 'Avocado']",https://www.kochwiki.org/wiki/Geschmolzene_Avocado_mit_ger%C3%B6steten_Calamari
Gratin,24,"Bei einem Gratin entsteht durch das Gratinieren eine braune Kruste (siehe Maillard-Reaktion).
",set(),"['Begriffsklärung', 'Hauptspeisen', 'Vorspeisen']",https://www.kochwiki.org/wiki/Gratin
Griechisch-asiatische Wokpfanne,25,"Die griechisch-asiatische Wokpfanne ist ein typisches Gericht, das die Verbindung der kulinarischen Traditionen der griechischen und asiatischen Küche repräsentiert (""Crossover-Küche"").
","{'Kreuzkümmel', 'Ingwer', 'Zwiebel', 'Cashewkern', 'Cayennepfeffer', 'Chili', 'Sojasauce', 'Pfeffer', 'Hackfleisch', 'Feta', 'Kurkuma', 'Petersilie', 'Erdnussbutter', 'Karotte', 'Wurzelpetersilie', 'Erdnussöl'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Griechische Küche', 'Wok-Küche', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Griechisch-asiatische_Wokpfanne
Grüner Spargel mit Garnelen,26,"Grüner Spargel mit Garnelen ist ein schönes Gericht, was die Qualitäten des grünen Spargel einmal anders präsentiert.
","{'Sojaöl', 'Chili', 'Garnele', 'Zucchini', 'Pfeffer', 'Kaiserschote', 'Spargel', 'Kerbel', 'Knoblauch', 'Karotte', 'Salz', 'Sojasauce'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Vorspeisen']",https://www.kochwiki.org/wiki/Gr%C3%BCner_Spargel_mit_Garnelen
Grünes Spargelrisotto,27,"Das grüne Spargelrisotto ist eine schöne italienische Beilage, die Reis mit Gemüse kombiniert. Die Aromen der Rauke tun ihr Übriges für den Geschmack.
","{'Zwiebel', 'Steinpilz', 'Brühe', 'Pfeffer', 'Spargel', 'Rauke', 'Kerbel', 'Salz', 'Parmesan'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Risotto', 'Hauptspeisen']",https://www.kochwiki.org/wiki/Gr%C3%BCnes_Spargelrisotto
Grünkernküchle,28,"Diese Grünkernküchle hat der Verfasser im Taubertal (Baden) serviert bekommen. Mit Gemüsebrühe hergestellt sind diese Küchle ein wunderbarer Ersatz für Frikadellen.
","{'Majoran', 'Karotte', 'Ei', 'Butter', 'Pfeffer', 'Gouda', 'Petersilie', 'Knoblauch', 'Grünkernschrot', 'Schalotte', 'Butterschmalz', 'Salz'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Badische Küche', 'Hauptspeisen', 'Grünkern']",https://www.kochwiki.org/wiki/Gr%C3%BCnkernk%C3%BCchle
Gurken-Sahne-Hummersauce,29,"Die Gurken-Sahne-Hummersauce ist ein aus der Not entstandenes Rezept. Der Verfasser bekam über ein Kilogramm Freilandgurken geschenkt und es musste über eine optimale Verwertung nachgedacht werden. Diese Sauce sollte zu einem Fisch und einem Gurkengemüse passen (Meinung des Verfassers, er lässt sich gerne eines Besseren belehren). Das nebenstehende Foto zeigt die Sauce mit Gurkengemüse, gekochten mit Safran gefärbten gekochter Reis und einem gebratenem Lachsforellenfilet.
","{'Meersalz', 'Hummerbutter', 'Zitrone', 'Cayennepfeffer', 'Butter', 'Pfeffer', 'Gurke', 'Dill', 'Schalotte', 'Sahne'}","['Schwierigkeit leicht bis mittel', 'Rezepte mit Alkohol', 'Hauptspeisen', 'Helle Saucen', 'Festliche Küche']",https://www.kochwiki.org/wiki/Gurken-Sahne-Hummersauce
Hackfleischstrudel,30,"Hackfleischstrudel ist kostengünstig und nicht besonders schwierig in der Zubereitung. Er eignet sich außerdem hervorragend für Gäste und schmeckt auch aufgewärmt am nächsten Tag!
","{'Tatar', 'Zwiebel', 'Tomate', 'Weizenmehl', 'Paprika', 'Ei', 'Pfeffer', 'Salz', 'Ketchup'}","['Schwierigkeit leicht bis mittel', 'Rezepte ohne Alkohol', 'Hauptspeisen', 'Strudel', 'Partyrezepte', 'Resteküche']",https://www.kochwiki.org/wiki/Hackfleischstrudel
